"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_TYPE_SUITE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","OWN_CAR_AGE","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","OBS_30_CNT_SOCIAL_CIRCLE","DEF_30_CNT_SOCIAL_CIRCLE","OBS_60_CNT_SOCIAL_CIRCLE","DEF_60_CNT_SOCIAL_CIRCLE","DAYS_LAST_PHONE_CHANGE"
100083,0,"Cash loans","M","Y",0,103500,573628.5,24435,463500,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.009657,-15406,-892,-341,-4176,22,1,1,0,1,0,0,"Laborers",2,2,2,"MONDAY",18,0,0,0,0,0,0,"Business Entity Type 3",2,1,2,1,-2053
100145,0,"Cash loans","F","Y",1,202500,260725.5,16789.5,198000,"Family","Working","Secondary / secondary special","Separated","House / apartment",0.01885,-16282,-4375,-762,-1494,8,1,1,0,1,0,0,"Laborers",2,2,2,"TUESDAY",11,0,0,0,0,0,0,"Self-employed",6,0,6,0,-1782
100179,0,"Cash loans","F","N",0,202500,675000,53329.5,675000,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.031329,-11375,-2311,-180,-2009,4,1,1,0,1,0,0,"Managers",2,2,2,"MONDAY",13,0,0,0,0,0,0,"Trade: type 7",0,0,0,0,-1792
100190,0,"Cash loans","M","N",0,162000,263686.5,24781.5,238500,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.022625,-13972,-4472,-464,-4529,3,1,1,0,1,1,0,"Laborers",2,2,2,"THURSDAY",16,0,0,0,0,0,0,"Government",5,0,5,0,-1161
100295,1,"Cash loans","M","N",1,225000,1019205,31032,774000,"Unaccompanied","Commercial associate","Secondary / secondary special","Single / not married","House / apartment",0.072508,-11356,-602,-335,-3224,9,1,1,0,1,0,0,"Laborers",2,1,1,"MONDAY",14,1,0,1,0,0,0,"Business Entity Type 3",3,0,3,0,-14
100341,0,"Cash loans","M","Y",0,76500,545040,20677.5,450000,"Unaccompanied","Working","Secondary / secondary special","Widow","House / apartment",0.031329,-20348,-7115,-1799,-2780,28,1,1,0,1,0,0,"Laborers",1,2,2,"TUESDAY",10,0,0,0,0,0,0,"Industry: type 2",0,0,0,0,0
100343,0,"Cash loans","M","Y",0,315000,90000,4504.5,90000,"Unaccompanied","Working","Secondary / secondary special","Single / not married","With parents",0.0228,-10935,-422,-5251,-3364,2,1,1,0,1,1,0,"Drivers",1,2,2,"SATURDAY",11,0,0,0,0,0,0,"Business Entity Type 3",2,0,2,0,-1016
100363,0,"Cash loans","F","Y",1,360000,493497,48942,454500,"Unaccompanied","Commercial associate","Higher education","Married","House / apartment",0.006629,-14882,-436,-1140,-4606,6,1,1,0,1,0,1,"Core staff",3,2,2,"MONDAY",11,0,0,0,0,0,0,"Bank",0,0,0,0,-563
100371,0,"Cash loans","F","Y",1,450000,808650,31464,675000,"Unaccompanied","Commercial associate","Higher education","Civil marriage","House / apartment",0.072508,-14768,-426,-3241,-3409,1,1,1,0,1,1,1,"Core staff",3,1,1,"WEDNESDAY",13,1,1,0,0,0,0,"Kindergarten",0,0,0,0,0
100376,0,"Cash loans","M","Y",0,360000,254700,20250,225000,"Unaccompanied","Working","Secondary / secondary special","Married","House / apartment",0.018801,-18831,-1342,-8691,-2067,17,1,1,0,1,0,0,"Drivers",2,2,2,"MONDAY",10,0,0,0,0,0,0,"Transport: type 3",0,0,0,0,-542
100389,0,"Cash loans","M","Y",0,247500,1971072,68643,1800000,"Unaccompanied","Working","Higher education","Married","House / apartment",0.006207,-14216,-365,-3183,-4423,13,1,1,1,1,0,0,"Core staff",2,2,2,"WEDNESDAY",14,0,0,0,0,0,0,"Self-employed",0,0,0,0,-2421
100395,0,"Cash loans","M","Y",0,225000,888840,32053.5,675000,"Unaccompanied","Commercial associate","Secondary / secondary special","Married","Municipal apartment",0.072508,-16719,-687,-8892,-240,12,1,1,0,1,0,0,"Drivers",2,1,1,"FRIDAY",17,0,0,0,0,0,0,"Business Entity Type 2",0,0,0,0,-3351
100425,0,"Cash loans","F","Y",2,90000,688500,20259,688500,"Family","Working","Higher education","Married","House / apartment",0.025164,-12982,-2850,-3476,-5139,64,1,1,0,1,0,0,"Core staff",4,2,2,"SATURDAY",8,0,0,0,0,0,0,"Kindergarten",3,0,3,0,0
