checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job
A,6,critical,radio_tv,1169,unknown,A,4,single_male,none,4,real_estate,67,none,own,2,1,1,yes,yes,skilled_employee
C,48,repaid,radio_tv,5951,A,C,2,female,none,2,real_estate,22,none,own,1,2,1,none,yes,skilled_employee
unknown,12,critical,education,2096,A,D,2,single_male,none,3,real_estate,49,none,own,1,1,2,none,yes,unskilled_resident
A,42,repaid,furniture,7882,A,D,2,single_male,guarantor,4,building_society_savings,45,none,for_free,1,1,2,none,yes,skilled_employee
A,24,delayed,car_new,4870,A,C,3,single_male,none,4,unknown_none,53,none,for_free,2,2,2,none,yes,skilled_employee
unknown,36,repaid,education,9055,unknown,C,2,single_male,none,4,unknown_none,35,none,for_free,1,1,2,yes,yes,unskilled_resident
unknown,24,repaid,furniture,2835,D,A,3,single_male,none,4,building_society_savings,53,none,own,1,1,1,none,yes,skilled_employee
C,36,repaid,car_used,6948,A,C,2,single_male,none,2,other,35,none,rent,1,1,1,yes,yes,mangement_self_employed
unknown,12,repaid,radio_tv,3059,B,D,2,divorced_male,none,4,real_estate,61,none,own,1,1,1,none,yes,unskilled_resident
C,30,critical,car_new,5234,A,unemployed,4,married_male,none,2,other,28,none,own,2,2,1,none,yes,mangement_self_employed
C,12,repaid,car_new,1295,A,B,3,female,none,1,other,25,none,rent,1,2,1,none,yes,skilled_employee
A,48,repaid,business,4308,A,B,3,female,none,4,building_society_savings,24,none,rent,1,2,1,none,yes,skilled_employee
C,12,repaid,radio_tv,1567,A,C,1,female,none,1,other,22,none,own,1,1,1,yes,yes,skilled_employee
A,24,critical,car_new,1199,A,A,4,single_male,none,4,other,60,none,own,2,2,1,none,yes,unskilled_resident
A,15,repaid,car_new,1403,A,C,2,female,none,4,other,28,none,rent,1,1,1,none,yes,skilled_employee
A,24,repaid,radio_tv,1282,C,C,4,female,none,2,other,32,none,own,1,2,1,none,yes,unskilled_resident
unknown,24,critical,radio_tv,2424,unknown,A,4,single_male,none,4,building_society_savings,53,none,own,2,1,1,none,yes,skilled_employee
A,30,fully repaid,business,8072,unknown,B,2,single_male,none,3,other,25,bank,own,3,1,1,none,yes,skilled_employee
C,24,repaid,car_used,12579,A,A,4,female,none,2,unknown_none,44,none,for_free,1,2,1,yes,yes,mangement_self_employed
unknown,24,repaid,radio_tv,3430,D,A,3,single_male,none,2,other,31,none,own,1,1,2,yes,yes,skilled_employee
unknown,9,critical,car_new,2134,A,C,4,single_male,none,4,other,48,none,own,3,1,1,yes,yes,skilled_employee
A,6,repaid,radio_tv,2647,D,C,2,single_male,none,3,real_estate,44,none,rent,1,1,2,none,yes,skilled_employee
A,10,critical,car_new,2241,A,B,1,single_male,none,3,real_estate,48,none,rent,2,1,2,none,no,unskilled_resident
C,12,critical,car_used,1804,C,B,3,single_male,none,4,building_society_savings,44,none,own,1,1,1,none,yes,skilled_employee
unknown,10,critical,furniture,2069,unknown,C,2,married_male,none,1,other,26,none,own,2,1,1,none,no,skilled_employee
A,6,repaid,furniture,1374,A,C,1,single_male,none,2,real_estate,36,bank,own,1,1,1,yes,yes,unskilled_resident
unknown,6,fully repaid,radio_tv,426,A,A,4,married_male,none,4,other,39,none,own,1,1,1,none,yes,unskilled_resident
B,12,fully repaid this bank,radio_tv,409,B,C,3,female,none,3,real_estate,42,none,rent,2,1,1,none,yes,skilled_employee
C,7,repaid,radio_tv,2415,A,C,3,single_male,guarantor,2,real_estate,34,none,own,1,1,1,none,yes,skilled_employee
A,60,delayed,business,6836,A,A,3,single_male,none,4,unknown_none,63,none,own,2,2,1,yes,yes,skilled_employee
C,18,repaid,business,1913,B,B,3,married_male,none,3,real_estate,36,bank,own,1,1,1,yes,yes,skilled_employee
A,24,repaid,furniture,4020,A,C,2,single_male,none,2,other,27,stores,own,1,1,1,none,yes,skilled_employee
C,18,repaid,car_new,5866,C,C,2,single_male,none,2,other,30,none,own,2,1,1,yes,yes,skilled_employee
unknown,12,critical,business,1264,unknown,A,4,single_male,none,4,unknown_none,57,none,rent,1,1,1,none,yes,unskilled_resident
B,12,repaid,furniture,1474,A,B,4,female,none,1,building_society_savings,33,bank,own,1,1,1,yes,yes,mangement_self_employed
C,45,critical,radio_tv,4746,A,B,4,single_male,none,2,building_society_savings,25,none,own,2,2,1,none,yes,unskilled_resident
unknown,48,critical,education,6110,A,C,1,single_male,none,3,unknown_none,31,bank,for_free,1,1,1,yes,yes,skilled_employee
B,18,repaid,radio_tv,2100,A,C,4,single_male,co-applicant,2,real_estate,37,stores,own,1,2,1,none,yes,skilled_employee
B,10,repaid,domestic appliances,1225,A,C,2,single_male,none,2,other,37,none,own,1,1,1,yes,yes,skilled_employee
C,9,repaid,radio_tv,458,A,C,4,single_male,none,3,real_estate,24,none,own,1,1,1,none,yes,skilled_employee
unknown,30,repaid,radio_tv,2333,D,A,4,single_male,none,2,other,30,bank,own,1,1,1,none,yes,mangement_self_employed
C,12,repaid,radio_tv,1158,D,C,3,divorced_male,none,1,other,26,none,own,1,1,1,yes,yes,skilled_employee
C,18,delayed,repairs,6204,A,C,2,single_male,none,4,real_estate,44,none,own,1,1,2,yes,yes,unskilled_resident
A,30,critical,car_used,6187,C,D,1,married_male,none,4,other,24,none,rent,2,1,1,none,yes,skilled_employee
A,48,critical,car_used,6143,A,A,4,female,none,4,unknown_none,58,stores,for_free,2,2,1,none,yes,unskilled_resident
unknown,11,critical,car_new,1393,A,B,4,female,none,4,other,35,none,own,2,1,1,none,yes,mangement_self_employed
unknown,36,repaid,radio_tv,2299,D,A,4,single_male,none,4,other,39,none,own,1,1,1,none,yes,skilled_employee
A,6,repaid,car_used,1352,D,unemployed,1,female,none,2,building_society_savings,23,none,rent,1,1,1,yes,yes,unemployed_non_resident
unknown,11,critical,car_new,7228,A,C,1,single_male,none,4,building_society_savings,39,none,own,2,1,1,none,yes,unskilled_resident
unknown,12,repaid,radio_tv,2073,C,C,4,female,co-applicant,2,real_estate,28,none,own,1,1,1,none,yes,skilled_employee
C,24,delayed,furniture,2333,unknown,B,4,single_male,none,2,building_society_savings,29,bank,own,1,1,1,none,yes,unskilled_resident
C,27,delayed,car_used,5965,A,A,1,single_male,none,2,other,30,none,own,2,1,1,yes,yes,mangement_self_employed
unknown,12,repaid,radio_tv,1262,A,C,3,single_male,none,2,other,25,none,own,1,1,1,none,yes,skilled_employee
unknown,18,repaid,car_used,3378,unknown,C,2,single_male,none,1,building_society_savings,31,none,own,1,1,1,yes,yes,skilled_employee
C,36,delayed,car_new,2225,A,A,4,single_male,none,4,unknown_none,57,bank,for_free,2,2,1,yes,yes,skilled_employee
unknown,6,fully repaid this bank,car_new,783,unknown,C,1,single_male,guarantor,2,real_estate,26,stores,own,1,1,2,none,yes,unskilled_resident
C,12,repaid,radio_tv,6468,unknown,unemployed,2,single_male,none,1,unknown_none,52,none,own,1,2,1,yes,yes,mangement_self_employed
unknown,36,critical,radio_tv,9566,A,C,2,female,none,2,other,31,stores,own,2,1,1,none,yes,skilled_employee
B,18,repaid,car_new,1961,A,A,3,female,none,2,other,23,none,own,1,1,1,none,yes,mangement_self_employed
A,36,critical,furniture,6229,A,B,4,female,co-applicant,4,unknown_none,23,none,rent,2,2,1,yes,yes,unskilled_resident
C,9,repaid,business,1391,A,C,2,married_male,none,1,real_estate,27,bank,own,1,1,1,yes,yes,skilled_employee
C,15,critical,radio_tv,1537,unknown,A,4,single_male,guarantor,4,real_estate,50,none,own,2,1,1,yes,yes,skilled_employee
C,36,fully repaid,business,1953,A,A,4,single_male,none,4,unknown_none,61,none,for_free,1,2,1,yes,yes,mangement_self_employed
C,48,fully repaid,business,14421,A,C,2,single_male,none,2,other,25,none,own,1,2,1,yes,yes,skilled_employee
unknown,24,repaid,radio_tv,3181,A,B,4,female,none,4,building_society_savings,26,none,own,1,1,1,yes,yes,skilled_employee
unknown,27,repaid,repairs,5190,unknown,A,4,single_male,none,4,building_society_savings,48,none,own,4,1,2,yes,yes,skilled_employee
unknown,12,repaid,radio_tv,2171,A,B,2,female,none,2,other,29,bank,own,1,1,1,none,yes,skilled_employee
C,12,repaid,car_new,1007,B,C,4,married_male,none,1,real_estate,22,none,own,1,1,1,none,yes,skilled_employee
unknown,36,repaid,education,1819,A,C,4,single_male,none,4,unknown_none,37,stores,for_free,1,2,1,yes,yes,skilled_employee
unknown,36,repaid,radio_tv,2394,unknown,C,4,female,none,4,other,25,none,own,1,1,1,none,yes,skilled_employee
unknown,36,repaid,car_used,8133,A,C,1,female,none,2,building_society_savings,30,bank,own,1,1,1,none,yes,skilled_employee
unknown,7,critical,radio_tv,730,unknown,A,4,single_male,none,2,building_society_savings,46,none,rent,2,1,1,yes,yes,unskilled_resident
A,8,critical,others,1164,A,A,3,single_male,none,4,unknown_none,51,bank,for_free,2,1,2,yes,yes,mangement_self_employed
C,42,critical,business,5954,A,D,2,female,none,1,real_estate,41,bank,own,2,1,1,none,yes,unskilled_resident
A,36,repaid,education,1977,unknown,A,4,single_male,none,4,unknown_none,40,none,own,1,2,1,yes,yes,mangement_self_employed
A,12,critical,car_used,1526,A,A,4,single_male,none,4,unknown_none,66,none,for_free,2,1,1,none,yes,mangement_self_employed
A,42,repaid,radio_tv,3965,A,B,4,single_male,none,3,other,34,none,own,1,2,1,none,yes,skilled_employee
C,11,delayed,radio_tv,4771,A,D,2,single_male,none,4,building_society_savings,51,none,own,1,1,1,none,yes,skilled_employee
unknown,54,fully repaid,car_used,9436,unknown,C,2,single_male,none,2,building_society_savings,39,none,own,1,1,2,none,yes,unskilled_resident
C,30,repaid,furniture,3832,A,B,2,married_male,none,1,building_society_savings,22,none,own,1,1,1,none,yes,skilled_employee
unknown,24,repaid,radio_tv,5943,unknown,B,1,female,none,1,other,44,none,own,2,2,1,yes,yes,skilled_employee
unknown,15,repaid,radio_tv,1213,D,A,4,single_male,none,3,building_society_savings,47,stores,own,1,1,1,yes,yes,skilled_employee
unknown,18,repaid,business,1568,C,C,3,female,none,4,building_society_savings,24,none,rent,1,1,1,none,yes,unskilled_resident
A,24,repaid,others,1755,A,A,4,female,guarantor,4,real_estate,58,none,own,1,1,1,yes,yes,unskilled_resident
A,10,repaid,radio_tv,2315,A,A,3,single_male,none,4,real_estate,52,none,own,1,1,1,none,yes,unskilled_resident
unknown,12,critical,business,1412,A,C,4,female,guarantor,2,real_estate,29,none,own,2,1,1,yes,yes,mangement_self_employed
C,18,critical,furniture,1295,A,B,4,female,none,1,building_society_savings,27,none,own,2,1,1,none,yes,skilled_employee
C,36,repaid,education,12612,C,C,1,single_male,none,4,unknown_none,47,none,for_free,1,2,2,yes,yes,skilled_employee
A,18,repaid,car_new,2249,C,D,4,single_male,none,3,other,30,none,own,1,1,2,yes,yes,mangement_self_employed
A,12,fully repaid,repairs,1108,A,D,4,single_male,none,3,real_estate,28,none,own,2,2,1,none,yes,skilled_employee
unknown,12,critical,radio_tv,618,A,A,4,single_male,none,4,real_estate,56,none,own,1,1,1,none,yes,skilled_employee
